"","gene_symbol","mean_rank","median_rank","direction_foldchange"
"1329","Sox9",1336.77777777778,1212,1
"1330","Il4ra",1336.77777777778,1213.5,1
"1331","Rpl7a",1336.88888888889,1517,-1
"1332","Rpl34",1338.33333333333,1545,-1
"1333","Cib1",1338.33333333333,1364.5,-1
"1334","Gm15417",1338.77777777778,1474.5,-1
"1335","Idnk",1339.72222222222,1087.5,-1
"1336","Cxadr",1340.61111111111,1212,1
"1337","Slc24a3",1340.72222222222,1286.5,1
"1338","Spaca6",1341.22222222222,1381.5,1
"1339","Nudt6",1341.38888888889,1388,-1
"1340","Zfp788",1341.77777777778,1421,1
"1341","Nrxn1",1342.66666666667,1411,1
"1342","Zfp281",1342.72222222222,1399.5,-1
"1343","Chmp2a",1342.77777777778,1175.5,-1
"1344","Flad1",1343.33333333333,1512.5,-1
"1345","Tshz1",1343.77777777778,1207,-1
"1346","Eif2b1",1344.38888888889,1276,-1
"1347","Swap70",1344.44444444444,1223.5,1
"1348","Cnih1",1344.5,1081,-1
"1349","Denr",1344.66666666667,1420,-1
"1350","Ccdc14",1344.66666666667,1582.5,1
"1351","Wwc2",1344.88888888889,1368,1
"1352","Rpe",1345.11111111111,1074.5,-1
"1353","Slc25a45",1345.33333333333,1387,-1
"1354","Fancl",1345.38888888889,1373,-1
"1355","Akap8",1345.44444444444,1288.5,-1
"1356","F9",1345.83333333333,1363,-1
"1357","Mrpl9",1345.88888888889,1383.5,-1
"1358","Pitpna",1346.05555555556,1304,1
"1359","Nod1",1346.16666666667,1328.5,1
"1360","Ankzf1",1346.33333333333,1254.5,-1
"1361","Lims1",1346.38888888889,1341,1
"1362","Adam17",1346.38888888889,1385,1
"1363","Lgr5",1346.44444444444,1417,-1
"1364","Tbccd1",1346.88888888889,1501.5,-1
"1365","Actr8",1348.38888888889,1549,-1
"1366","Ubl7",1350.33333333333,1197.5,-1
"1367","Aasdhppt",1350.44444444444,1223.5,-1
"1368","Pepd",1350.94444444444,1345.5,1
"1369","Rtkn",1351.33333333333,1256,1
"1370","Trap1",1351.88888888889,1530.5,-1
"1371","Sec61b",1352.38888888889,1462,-1
"1372","Plce1",1352.88888888889,1486,1
"1373","Dolpp1",1353.05555555556,1521.5,-1
"1374","Utp3",1353.55555555556,1364,-1
"1375","Acvr2b",1353.66666666667,1371,-1
"1376","Nbr1",1353.77777777778,1486.5,-1
"1377","Gstm7",1354.94444444444,1448.5,-1
"1378","Dynlrb1",1355.11111111111,1378.5,-1
"1379","Pcsk5",1355.33333333333,1363,1
"1380","Mapre3",1356.16666666667,1493,1
"1381","Mcat",1356.16666666667,1316,-1
"1382","Sytl1",1356.27777777778,1373.5,-1
"1383","Dpm3",1356.33333333333,1200,-1
"1384","Epn2",1357,1351.5,1
"1385","Tomm70a",1357.05555555556,1379.5,-1
"1386","Fau",1357.5,1421,-1
"1387","Trim56",1357.72222222222,1548.5,1
"1388","Hsf2",1357.72222222222,1220.5,-1
"1389","AU040320",1357.77777777778,1414,1
"1390","Asah2",1357.94444444444,1223,1
"1391","Hint3",1358.05555555556,1319.5,-1
"1392","Hpcal1",1358.33333333333,1184,1
"1393","Prkcsh",1358.61111111111,1388,-1
"1394","Zfp672",1358.72222222222,1295.5,-1
"1395","Ndufs1",1359.44444444444,1478.5,-1
"1396","Btf3l4",1360.05555555556,1446.5,-1
"1397","Mgat4b",1361.44444444444,1398.5,1
"1398","Tfb2m",1361.5,1245.5,-1
"1399","Cnot8",1361.72222222222,1205,-1
"1400","Ptpn6",1361.77777777778,1301.5,1
"1401","Sbno2",1362.72222222222,1422,1
"1402","Galnt1",1363.72222222222,1181,1
"1403","Rcbtb1",1363.83333333333,1463,-1
"1404","Yipf1",1364.33333333333,1342.5,-1
"1405","Creld1",1364.5,1564.5,-1
"1406","Cyp2e1",1364.83333333333,1466.5,-1
"1407","Rpl23",1364.88888888889,1403.5,-1
"1408","Ergic2",1365.05555555556,1403,-1
"1409","Atpif1",1365.55555555556,1420,1
"1410","Pcbd2",1366.44444444444,1350,-1
"1411","Lcp1",1366.72222222222,1487,1
"1412","Prr14",1367.44444444444,1347.5,-1
"1413","Pkp4",1367.5,1268,1
"1414","0610030E20Rik",1367.77777777778,1329.5,-1
"1415","Mknk2",1368.16666666667,1485,1
"1416","Adipor2",1368.38888888889,1427.5,-1
"1417","Ralb",1368.44444444444,1463.5,1
"1418","Nop16",1368.5,1612.5,-1
"1419","Pgls",1368.61111111111,1340,-1
"1420","Rsu1",1368.72222222222,1397,1
"1421","Usp12",1368.77777777778,1254.5,1
"1422","Pla2g12b",1369.22222222222,1645,-1
"1423","Zdhhc8",1369.27777777778,1226,1
"1424","C1galt1c1",1369.33333333333,1648,-1
"1425","Emg1",1369.66666666667,1333.5,-1
"1426","Sgpp1",1369.77777777778,1444.5,-1
"1427","Vma21",1370.44444444444,1288.5,-1
"1428","Gfer",1370.61111111111,1209,-1
"1429","Siah2",1370.66666666667,1364,-1
"1430","Pcmt1",1370.66666666667,1487,-1
"1431","Bcl10",1370.83333333333,1188,1
"1432","Pfdn6",1371.44444444444,1356,-1
"1433","Sned1",1371.72222222222,1424.5,-1
"1434","Dym",1372.66666666667,1250,-1
"1435","Aars2",1372.94444444444,1317.5,-1
"1436","Rhpn2",1373.27777777778,1420.5,1
"1437","Card10",1373.72222222222,1209,1
"1438","Setd4",1373.88888888889,1204.5,-1
"1439","Rbbp9",1374,1500.5,-1
"1440","Nfkb1",1374.38888888889,1427.5,1
"1441","Rufy3",1375.22222222222,1403,-1
"1442","Eda",1375.33333333333,1386,1
"1443","Rps28",1375.66666666667,1132.5,-1
"1444","Stk11",1375.88888888889,1521,-1
"1445","Rps21",1377,1555.5,-1
"1446","Pdhx",1377.11111111111,1515.5,-1
"1447","Rnf13",1377.22222222222,1402.5,-1
"1448","Sf3b2",1377.44444444444,1372.5,-1
"1449","Fbxl19",1378.33333333333,1367.5,1
"1450","Cradd",1378.94444444444,1310,-1
"1451","Acbd6",1379.27777777778,1580,-1
"1452","Nudt4",1380.11111111111,1541.5,1
"1453","Rpp25l",1380.27777777778,1345,-1
"1454","Sgk1",1380.38888888889,1450.5,1
"1455","Cops5",1380.55555555556,1402.5,-1
"1456","Tmem165",1380.94444444444,1633.5,1
"1457","Rbms2",1381.66666666667,1188,1
"1458","Safb2",1382,1390.5,-1
"1459","Zfp710",1382.11111111111,1348,1
"1460","Immp1l",1382.27777777778,1400.5,-1
"1461","Psmb6",1383,1322,-1
"1462","Atp1b3",1383.16666666667,1496,1
"1463","Slc35f5",1383.88888888889,1307,1
"1464","Sarnp",1384.16666666667,1601,-1
"1465","Hras",1384.27777777778,1256.5,-1
"1466","Timm23",1384.44444444444,1179.5,-1
"1467","Sae1",1384.77777777778,1352.5,1
"1468","Aptx",1385.11111111111,1542,-1
"1469","Imp3",1385.27777777778,1529,-1
"1470","H13",1385.33333333333,1509,-1
"1471","Tbc1d24",1386.77777777778,1077,1
"1472","Inhba",1387.33333333333,1784,-1
"1473","Man1b1",1388,1246.5,1
"1474","Zadh2",1388.16666666667,1368,-1
"1475","Hdhd2",1388.22222222222,1339.5,-1
"1476","Plgrkt",1388.27777777778,1310,1
"1477","Ift122",1388.27777777778,1561,1
"1478","Gdi1",1388.88888888889,1308.5,-1
"1479","Clptm1",1389.05555555556,1386,-1
"1480","Rere",1389.44444444444,1413.5,1
"1481","Tpt1",1389.72222222222,1446.5,-1
"1482","Tec",1389.72222222222,1497.5,-1
"1483","Mfap3",1390.55555555556,1391.5,1
"1484","Jup",1392,1294,1
"1485","Slc2a5",1392.66666666667,1540.5,-1
"1486","Lyn",1392.83333333333,1312.5,1
"1487","Elmo3",1393,1376,-1
"1488","Zfp423",1393.22222222222,1506,1
"1489","Polr2a",1393.5,1480,1
"1490","Nelfcd",1394.77777777778,1494.5,-1
"1491","Rhno1",1395.27777777778,1499.5,1
"1492","Phkg2",1395.5,1480.5,-1
"1493","Rin2",1395.77777777778,1389,1
"1494","Ezh1",1395.94444444444,1388,1
"1495","Auh",1396,1260,-1
"1496","Ssh1",1396.44444444444,1286,1
"1497","Mnd1",1396.5,1237.5,-1
"1498","Dazap2",1396.94444444444,1571,-1
"1499","Smc5",1397.33333333333,1390.5,-1
"1500","Mrps17",1397.55555555556,1316,-1
"1501","Mydgf",1397.88888888889,1282,-1
"1502","Coq3",1399.55555555556,1339.5,-1
"1503","Arl3",1399.66666666667,1180.5,-1
"1504","Spats2",1399.66666666667,1596.5,1
"1505","Mrpl28",1399.72222222222,1554.5,-1
"1506","Kctd3",1400,1574,1
"1507","Zfp595",1400.27777777778,1405.5,-1
"1508","Cops3",1400.61111111111,1681,-1
"1509","Grk6",1401.5,1433.5,1
"1510","Timm10",1401.77777777778,1709,-1
"1511","Crb3",1402,1326.5,-1
"1512","Cast",1402.05555555556,1452.5,1
"1513","Sgce",1402.33333333333,1509,1
"1514","Rab17",1402.38888888889,1430.5,-1
"1515","Mrpl22",1403.38888888889,1454.5,-1
"1516","Plcxd2",1403.77777777778,1580,-1
"1517","Cln8",1404.05555555556,1204,1
"1518","Tmco3",1404.5,1412,1
"1519","Apip",1404.72222222222,1309,-1
"1520","U2af1",1405,1546.5,-1
"1521","Zfp874a",1406.27777777778,1440,-1
"1522","Ik",1406.77777777778,1234.5,-1
"1523","Fkbp9",1407.44444444444,1533.5,1
"1524","Ei24",1407.5,1553.5,-1
"1525","Tex12",1407.94444444444,1444,-1
"1526","Scamp1",1408.16666666667,1411.5,-1
"1527","Aamdc",1408.61111111111,1603,-1
"1528","Ube2e1",1409.05555555556,1303,-1
"1529","Mterf3",1409.61111111111,1380.5,-1
"1530","Fra10ac1",1409.94444444444,1217,-1
"1531","Zcrb1",1412.61111111111,1479.5,-1
"1532","Hnrnpa3",1413.22222222222,1208,-1
"1533","Zfp873",1413.5,1468.5,-1
"1534","Cttn",1413.66666666667,1485,1
"1535","Alg11",1413.77777777778,1279,-1
"1536","Rab5b",1414.22222222222,1566.5,-1
"1537","N4bp2l2",1414.27777777778,1531,-1
"1538","1700123O20Rik",1414.72222222222,1327,-1
"1539","Actr6",1414.88888888889,1363,-1
"1540","Asap1",1415.22222222222,1499,1
"1541","Taz",1415.77777777778,1358,-1
"1542","Fnta",1416.16666666667,1576.5,-1
"1543","Gnptab",1416.27777777778,1248.5,1
"1544","Sdf4",1416.27777777778,1397.5,-1
"1545","Mief1",1416.77777777778,1365.5,-1
"1546","Ctsf",1418,1555.5,-1
"1547","Mepce",1418.05555555556,1481,-1
"1548","Bcat2",1418.11111111111,1266,-1
"1549","Brd3",1418.16666666667,1445.5,-1
"1550","Dna2",1419.11111111111,1567,-1
"1551","Nelfe",1419.33333333333,1222,-1
"1552","Nap1l1",1419.38888888889,1685.5,1
"1553","Rassf7",1420.5,1530.5,-1
"1554","H1f0",1420.77777777778,1466.5,-1
"1555","Cep170b",1420.77777777778,1580,1
"1556","Pot1b",1421.77777777778,1296.5,1
"1557","Mtx1",1422.16666666667,1365,-1
